,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
287,DONEAR,-1,14,Expanding,,51.5625,26.6,-1
288,ADANIENT,1,9,Expanding,,56.120527306968015,175.25,0
289,ORBTEXP,1,4,Expanding,,48.05389221556886,61.75,0
290,NBVENTURES,-1,5,Contracting,,19.444444444444457,46.2,-1
291,GANDHITUBE,-1,1,Contracting,,45.742904841402364,188.6,-1
292,SSWL,-1,1,Contracting,,22.899884925201334,412.0,-1
293,MANINDS,-1,3,Contracting,,45.42936288088641,45.55,-1
294,AJMERA,-1,22,Contracting,,27.763496143958832,74.6,-1
295,CARBORUNIV,-1,14,Expanding,,38.09523809523808,248.1,-1
296,MMTC,1,48,Contracting,,25.547445255474443,18.2,-1
297,TATAMETALI,-1,2,Contracting,,38.70343492985005,491.75,-1
298,SRIPIPES,-1,4,Contracting,,30.173010380622827,182.55,-1
299,HINDCOPPER,1,55,Contracting,,38.613861386138616,35.45,-1
300,AROGRANITE,-1,14,Contracting,,39.00709219858154,23.6,-1
301,HIMATSEIDE,1,7,Expanding,,51.658767772511844,61.5,0
302,BSL,-1,14,Contracting,,48.71794871794872,23.1,-1
303,TTL,1,7,Expanding,,46.66666666666668,30.25,0
304,WELSPUNIND,1,5,Expanding,,58.503401360544224,39.2,0
305,SANGAMIND,-1,1,Contracting,,51.036269430051824,49.9,-1
306,AARVEEDEN,,,,,,0.0,0
307,ASHIMASYN,,,,,,0.0,0
308,PIONEEREMB,-1,1,Contracting,,49.20634920634923,23.0,-1
309,PATSPINLTD,,,,,,0.0,0
310,ANANTRAJ,-1,8,Contracting,,18.8679245283019,21.4,-1
311,MADHAV,-1,10,Contracting,,32.835820895522374,20.9,-1
312,SHREYANIND,-1,21,Expanding,,14.910025706940942,71.1,-1
313,STARPAPER,-1,12,Contracting,,25.738396624472585,96.1,-1
314,VINDHYATEL,-1,8,Contracting,,25.25743707093821,649.05,-1
315,ADORWELD,-1,12,Contracting,,28.88283378746587,245.95,-1
316,USHAMART,-1,10,Expanding,,29.06976744186045,18.4,-1
317,SUBROS,1,4,Expanding,,63.38709677419357,180.0,0
318,HONAUT,-1,13,Contracting,,27.547352646226997,26997.65,-1
319,LUMAXIND,1,40,Contracting,,41.00234466588506,1240.85,-1
320,HBLPOWER,-1,5,Contracting,,27.027027027027003,14.65,-1
321,GIPCL,1,44,Contracting,,44.652406417112346,69.3,-1
322,MOTHERSUMI,-1,12,Contracting,,46.07594936708864,94.9,-1
323,HAVELLS,1,44,Contracting,,50.6684950291395,583.15,-1
324,IGARASHI,-1,6,Contracting,,40.70932922127986,258.05,-1
325,SYMPHONY,-1,14,Contracting,,29.598939343718925,845.55,-1
326,RSSOFTWARE,1,2,Contracting,,45.21739130434784,16.65,-1
327,WEBELSOLAR,,,,,,0.0,0
328,TTKPRESTIG,1,45,Contracting,,48.787644787644794,5783.35,-1
329,SURANAT&P,-1,12,Contracting,,3.5714285714285836,3.7,-1
330,ONWARDTEC,1,43,Expanding,,61.59052453468696,61.8,0
331,CENTUM,1,43,Contracting,,52.819148936170215,316.6,-1
332,KEI,-1,1,Contracting,,42.70787984327382,348.15,-1
333,GSCLCEMENT,-1,2,Contracting,,39.81481481481481,29.3,-1
334,AVTNPL,1,10,Contracting,,84.43708609271519,37.75,-1
335,NAHARINDUS,-1,5,Contracting,,36.96969696969699,24.3,-1
336,VADILALIND,1,9,Expanding,,75.04625958234202,602.95,0
337,ADFFOODS,1,10,Expanding,,68.25581395348838,336.25,0
338,SANWARIA,,,,,,0.0,0
339,HERITGFOOD,1,9,Expanding,,61.801242236024834,311.25,0
340,CCL,-1,2,Contracting,,35.758323057953135,234.35,-1
341,RICOAUTO,-1,15,Contracting,,26.213592233009678,26.9,-1
342,MUNJALSHOW,1,58,Contracting,,47.029702970297066,103.75,-1
343,JAMNAAUTO,-1,12,Contracting,,27.02702702702706,28.5,-1
344,SUNCLAYLTD,-1,12,Contracting,,36.272321428571395,1557.3,-1
345,MUNJALAU,-1,5,Contracting,,48.39449541284405,48.35,-1
346,JAYBARMARU,-1,12,Contracting,,31.64673413063474,170.55,-1
347,SICAL,-1,15,Contracting,,42.3529411764706,9.2,-1
348,RATNAMANI,1,43,Contracting,,45.26808204390075,1045.05,-1
349,VESUVIUS,-1,6,Contracting,,40.83700440528628,866.95,-1
350,ASAL,,,,,,0.0,0
